,Name,SMILES
378,['Noxiptilin'],CN(C)CCON=C1C2=CC=CC=C2CCC3=CC=CC=C31
379,"['Piperazine, 2,5-Dimethyl-, Cis-']",C[C@H]1CN[C@H](CN1)C
380,"['Trans-2,5-Dimethylpiperazine']",C[C@@H]1CN[C@H](CN1)C
381,['4-Dimethylaminopyridine'],CN(C)C1=CC=NC=C1
382,"['Pyridine, 3-Ethenyl-']",C=CC1=CN=CC=C1
383,"['1,3,5-Triazine, Hexahydro-1,3,5-Trimethyl-']",CN1CN(CN(C1)C)C
384,['Propiram'],CCC(=O)N(C1=CC=CC=N1)C(C)CN2CCCCC2
385,"['Propanenitrile, 3-Methoxy-']",COCCC#N
386,['2-(diethylamino)-Ethanol'],CCN(CC)CCO
387,"['Ethanamine, 2,2-Diethoxy-']",CCOC(CN)OCC
388,['Phenyl Isocyanate'],C1=CC=C(C=C1)N=C=O
