,Name,SMILES,A,B,C,Tmin,Tmax,No.C
1759,"2,4,5-Trimethyloctane",CCCC(C)C(C)CC(C)C,20.21301298,3231.540023,-77.15,449,449,11
1760,"2,4,6-Trimethyloctane",CCC(C)CC(C)CC(C)C,23.85487367,5462.59531,1.896,327,442,11
1761,"2,4,7-Trimethyloctane",CC(C)CCC(C)CC(C)C,20.23995323,3215.421927,-75.15,444,444,11
1762,"2,5,5-Trimethyloctane",CCCC(C)(C)CCC(C)C,20.10766971,3175.195766,-75.15,445,445,11
1763,"3,3,4-Trimethyloctane",CCCCC(C)C(C)(C)CC,20.03255939,3189.93231,-80.15,455,455,11
1764,"3,3,5-Trimethyloctane",CCCC(C)CC(C)(C)CC,20.09238055,3178.097023,-76.15,447,447,11
1765,"3,3,6-Trimethyloctane",CCC(C)CCC(C)(C)CC,20.08116696,3191.037551,-77.15,450,450,11
1766,"3,4,4-Trimethyloctane",CCCCC(C)(C)C(C)CC,20.0512794,3196.955195,-79.15,454,454,11
1767,"3,4,5-Trimethyloctane",CCCC(C)C(C)C(C)CC,20.18664838,3247.70417,-79.15,454,454,11
1768,"3,4,6-Trimethyloctane",CCC(C)CC(C)C(C)CC,20.2249634,3262.072301,-77.15,452,452,11
1769,"4-Ethyl-2,2-dimethylheptane",CCCC(CC)CC(C)(C)C,19.931568,3018.827212,-82,441,441,11
1770,"5-Ethyl-2,2-dimethylheptane",CCC(CC)CCC(C)(C)C,19.92560431,3041.876089,-83,445,445,11
1771,"3-Ethyl-1,1-dimethylcyclopentane",CCC1CCC(C1)(C)C,20.06088118,2920.184467,-65,407,407,9
1772,"cis-1,1,2,3-Tetramethyl-cyclopentane",C[C@H]1CCC([C@H]1C)(C)C,19.91452887,2903.651906,-65,411,411,9
1773,"trans-1,1,2,3-Tetramethyl-cyclopentane",C[C@H]1CCC([C@@H]1C)(C)C,19.90798953,2842.725504,-64,403,403,9
1774,"trans-1,2,2,3-Tetramethyl-cyclopentane",C[C@H]1CC[C@@H](C1(C)C)C,19.93875207,2920.460777,-64,411,411,9
1775,"3-Ethyl-2,6-dimethyloctane",CCC(C)CCC(CC)C(C)C,20.14294532,3291.637494,-88.15,470,470,12
